CNAE	Setor / Indústria	Categoria
8621-6/02	 Saúde                                    	Serviços
8622-4/00	 Saúde                                    	Serviços
8630-5/01	 Saúde                                    	Serviços
8630-5/02	 Saúde                                    	Serviços
8630-5/03	 Saúde                                    	Serviços
8630-5/04	 Saúde                                    	Serviços
8630-5/06	 Saúde                                    	Serviços
8630-5/07	 Saúde                                    	Serviços
8630-5/99	 Saúde                                    	Serviços
8640-2/01	 Saúde                                    	Serviços
8640-2/02	 Saúde                                    	Serviços
8640-2/03	 Saúde                                    	Serviços
8640-2/04	 Saúde                                    	Serviços
8640-2/05	 Saúde                                    	Serviços
8640-2/06	 Saúde                                    	Serviços
8640-2/07	 Saúde                                    	Serviços
8640-2/08	 Saúde                                    	Serviços
8640-2/09	 Saúde                                    	Serviços
8640-2/10	 Saúde                                    	Serviços
8640-2/11	 Saúde                                    	Serviços
8640-2/12	 Saúde                                    	Serviços
8640-2/13	 Saúde                                    	Serviços
8640-2/14	 Saúde                                    	Serviços
8640-2/99	 Saúde                                    	Serviços
8650-0/01	 Saúde                                    	Serviços
8650-0/02	 Saúde                                    	Serviços
8650-0/03	 Saúde                                    	Serviços
8650-0/04	 Saúde                                    	Serviços
8650-0/05	 Saúde                                    	Serviços
8650-0/06	 Saúde                                    	Serviços
8650-0/07	 Saúde                                    	Serviços
8650-0/99	 Saúde                                    	Serviços
8660-7/00	 Saúde                                    	Serviços
8690-9/01	 Saúde                                    	Serviços
8690-9/02	 Saúde                                    	Serviços
8690-9/03	 Saúde                                    	Serviços
8690-9/04	 Saúde                                    	Serviços
8690-9/99	 Saúde                                    	Serviços
8711-5/01	 Saúde                                    	Serviços
